Time,Start Time,End Time,Weather
2018-05-04,2018-05-04 05:00:00,2018-05-04 05:00:00,03High humidty
2018-05-08,2018-05-08 01:15:00,2018-05-08 05:00:00,03High humidty
2018-05-09,2018-05-09 03:15:00,2018-05-09 11:15:00,03High humidty
2018-06-05,2018-06-05 16:15:00,2018-06-05 23:45:00,03High humidty
2018-06-06,2018-06-06 06:45:00,2018-06-06 23:45:00,03High humidty
2018-06-07,2018-06-07 00:00:00,2018-06-07 23:45:00,03High humidty
2018-06-08,2018-06-08 11:00:00,2018-06-08 11:00:00,03High humidty
2018-06-09,2018-06-09 00:45:00,2018-06-09 03:15:00,03High humidty
2018-06-12,2018-06-12 16:45:00,2018-06-12 21:15:00,03High humidty
2018-06-21,2018-06-21 20:30:00,2018-06-21 23:45:00,03High humidty
2018-06-22,2018-06-22 00:00:00,2018-06-22 22:30:00,03High humidty
2018-06-23,2018-06-23 01:15:00,2018-06-23 23:45:00,03High humidty
2018-06-24,2018-06-24 00:00:00,2018-06-24 01:00:00,03High humidty
2018-06-25,2018-06-25 01:30:00,2018-06-25 17:00:00,03High humidty
2018-06-28,2018-06-28 16:00:00,2018-06-28 23:45:00,03High humidty
2018-06-29,2018-06-29 00:00:00,2018-06-29 11:15:00,03High humidty
2018-07-03,2018-07-03 13:15:00,2018-07-03 14:15:00,03High humidty
2018-07-09,2018-07-09 20:00:00,2018-07-09 23:45:00,03High humidty
2018-07-13,2018-07-13 19:45:00,2018-07-13 20:15:00,03High humidty
2018-07-14,2018-07-14 03:45:00,2018-07-14 10:15:00,03High humidty
2018-07-16,2018-07-16 05:00:00,2018-07-16 05:00:00,03High humidty
2018-07-18,2018-07-18 06:45:00,2018-07-18 08:15:00,03High humidty
2018-07-23,2018-07-23 18:00:00,2018-07-23 20:30:00,03High humidty
2018-08-01,2018-08-01 04:30:00,2018-08-01 05:30:00,03High humidty
2018-08-10,2018-08-10 07:15:00,2018-08-10 23:45:00,03High humidty
2018-08-11,2018-08-11 00:00:00,2018-08-11 01:15:00,03High humidty
2018-08-12,2018-08-12 01:30:00,2018-08-12 14:15:00,03High humidty
2018-08-14,2018-08-14 07:45:00,2018-08-14 08:30:00,03High humidty
2018-08-15,2018-08-15 01:15:00,2018-08-15 08:15:00,03High humidty
2018-08-16,2018-08-16 19:30:00,2018-08-16 21:30:00,03High humidty
2018-08-17,2018-08-17 03:30:00,2018-08-17 11:30:00,03High humidty
2018-08-18,2018-08-18 02:30:00,2018-08-18 08:15:00,03High humidty
2018-08-20,2018-08-20 01:45:00,2018-08-20 03:30:00,03High humidty
2018-08-21,2018-08-21 17:15:00,2018-08-21 21:45:00,03High humidty
2018-08-22,2018-08-22 21:15:00,2018-08-22 23:45:00,03High humidty
2018-08-23,2018-08-23 00:00:00,2018-08-23 05:45:00,03High humidty
2018-08-24,2018-08-24 00:15:00,2018-08-24 08:00:00,03High humidty
2018-08-27,2018-08-27 01:45:00,2018-08-27 23:45:00,03High humidty
2018-08-28,2018-08-28 00:00:00,2018-08-28 23:45:00,03High humidty
2018-08-29,2018-08-29 16:45:00,2018-08-29 23:45:00,03High humidty
2018-08-30,2018-08-30 00:00:00,2018-08-30 14:00:00,03High humidty
2018-08-31,2018-08-31 17:00:00,2018-08-31 23:45:00,03High humidty
2018-09-01,2018-09-01 14:00:00,2018-09-01 14:15:00,03High humidty
2018-09-02,2018-09-02 02:30:00,2018-09-02 11:30:00,03High humidty
2018-09-06,2018-09-06 05:00:00,2018-09-06 05:00:00,03High humidty
2018-10-10,2018-10-10 14:00:00,2018-10-10 14:00:00,03High humidty
2018-10-16,2018-10-16 05:00:00,2018-10-16 06:45:00,03High humidty
2018-10-17,2018-10-17 17:00:00,2018-10-17 17:15:00,03High humidty
2018-10-18,2018-10-18 04:30:00,2018-10-18 05:45:00,03High humidty
2018-11-25,2018-11-25 19:15:00,2018-11-25 22:00:00,03High humidty
2018-11-26,2018-11-26 00:15:00,2018-11-26 11:15:00,03High humidty
2018-12-07,2018-12-07 16:30:00,2018-12-07 17:15:00,03High humidty
2018-12-21,2018-12-21 04:30:00,2018-12-21 05:15:00,03High humidty
2018-12-24,2018-12-24 01:45:00,2018-12-24 23:45:00,03High humidty
2018-12-25,2018-12-25 00:00:00,2018-12-25 06:15:00,03High humidty
2019-01-03,2019-01-03 23:00:00,2019-01-03 23:00:00,03High humidty
2019-01-15,2019-01-15 07:15:00,2019-01-15 08:15:00,03High humidty
2019-02-06,2019-02-06 07:00:00,2019-02-06 08:00:00,03High humidty
2019-02-08,2019-02-08 06:45:00,2019-02-08 08:00:00,03High humidty
2019-02-18,2019-02-18 13:45:00,2019-02-18 18:45:00,03High humidty
2019-02-19,2019-02-19 11:00:00,2019-02-19 11:00:00,03High humidty
2019-02-21,2019-02-21 03:45:00,2019-02-21 06:00:00,03High humidty
2019-02-23,2019-02-23 19:15:00,2019-02-23 21:45:00,03High humidty
2019-03-05,2019-03-05 07:15:00,2019-03-05 08:00:00,03High humidty
2019-03-07,2019-03-07 16:30:00,2019-03-07 18:00:00,03High humidty
2019-03-12,2019-03-12 08:00:00,2019-03-12 08:00:00,03High humidty
2019-03-14,2019-03-14 19:00:00,2019-03-14 20:45:00,03High humidty
2019-03-24,2019-03-24 07:45:00,2019-03-24 08:30:00,03High humidty
2019-04-12,2019-04-12 13:45:00,2019-04-12 15:30:00,03High humidty
2019-04-14,2019-04-14 16:45:00,2019-04-14 23:30:00,03High humidty
2019-04-15,2019-04-15 05:00:00,2019-04-15 05:00:00,03High humidty
2019-04-17,2019-04-17 01:30:00,2019-04-17 08:15:00,03High humidty
2019-04-20,2019-04-20 07:30:00,2019-04-20 20:45:00,03High humidty
2019-05-03,2019-05-03 03:15:00,2019-05-03 06:30:00,03High humidty
2019-05-04,2019-05-04 19:45:00,2019-05-04 23:45:00,03High humidty
2019-05-05,2019-05-05 00:00:00,2019-05-05 05:15:00,03High humidty
2019-05-06,2019-05-06 23:00:00,2019-05-06 23:45:00,03High humidty
2019-05-07,2019-05-07 00:00:00,2019-05-07 20:00:00,03High humidty
2019-05-09,2019-05-09 05:00:00,2019-05-09 08:30:00,03High humidty
2019-05-14,2019-05-14 01:15:00,2019-05-14 02:30:00,03High humidty
2019-05-21,2019-05-21 22:30:00,2019-05-21 23:45:00,03High humidty
2019-05-22,2019-05-22 00:00:00,2019-05-22 06:15:00,03High humidty
2019-05-26,2019-05-26 03:00:00,2019-05-26 06:15:00,03High humidty
2019-05-27,2019-05-27 04:30:00,2019-05-27 20:30:00,03High humidty
2019-05-28,2019-05-28 22:30:00,2019-05-28 23:45:00,03High humidty
2019-05-29,2019-05-29 00:00:00,2019-05-29 06:00:00,03High humidty
2019-05-31,2019-05-31 13:45:00,2019-05-31 21:45:00,03High humidty
2019-06-01,2019-06-01 04:45:00,2019-06-01 05:15:00,03High humidty
2019-06-02,2019-06-02 18:30:00,2019-06-02 21:00:00,03High humidty
2019-06-03,2019-06-03 07:15:00,2019-06-03 08:30:00,03High humidty
2019-06-04,2019-06-04 04:30:00,2019-06-04 22:00:00,03High humidty
2019-06-10,2019-06-10 21:45:00,2019-06-10 23:45:00,03High humidty
2019-06-11,2019-06-11 00:00:00,2019-06-11 23:45:00,03High humidty
2019-06-12,2019-06-12 00:00:00,2019-06-12 20:45:00,03High humidty
2019-06-13,2019-06-13 00:30:00,2019-06-13 17:00:00,03High humidty
2019-06-18,2019-06-18 14:00:00,2019-06-18 14:00:00,03High humidty
2019-06-25,2019-06-25 00:00:00,2019-06-25 04:00:00,03High humidty
2019-06-26,2019-06-26 06:45:00,2019-06-26 08:15:00,03High humidty
2019-06-30,2019-06-30 04:45:00,2019-06-30 05:30:00,03High humidty
2019-07-03,2019-07-03 00:45:00,2019-07-03 11:30:00,03High humidty
2019-07-04,2019-07-04 04:15:00,2019-07-04 05:15:00,03High humidty
2019-07-19,2019-07-19 19:45:00,2019-07-19 23:45:00,03High humidty
2019-07-20,2019-07-20 00:00:00,2019-07-20 02:00:00,03High humidty
2019-07-21,2019-07-21 01:45:00,2019-07-21 02:15:00,03High humidty
2019-07-30,2019-07-30 07:15:00,2019-07-30 09:00:00,03High humidty
2019-07-31,2019-07-31 08:00:00,2019-07-31 23:45:00,03High humidty
2019-08-01,2019-08-01 00:00:00,2019-08-01 21:45:00,03High humidty
2019-08-02,2019-08-02 03:45:00,2019-08-02 06:45:00,03High humidty
2019-08-03,2019-08-03 06:30:00,2019-08-03 08:45:00,03High humidty
2019-08-18,2019-08-18 19:15:00,2019-08-18 21:15:00,03High humidty
2019-08-19,2019-08-19 01:30:00,2019-08-19 02:00:00,03High humidty
2019-08-20,2019-08-20 03:15:00,2019-08-20 06:45:00,03High humidty
2019-08-25,2019-08-25 04:00:00,2019-08-25 23:45:00,03High humidty
