Time,Start Time,End Time,Weather
2017-07-12,2017-07-12 13:30:00,2017-07-12 14:30:00,02High temperature
2017-07-13,2017-07-13 11:00:00,2017-07-13 15:00:00,02High temperature
2017-07-14,2017-07-14 12:00:00,2017-07-14 16:00:00,02High temperature
2017-07-15,2017-07-15 12:45:00,2017-07-15 13:00:00,02High temperature
2017-07-21,2017-07-21 12:00:00,2017-07-21 14:30:00,02High temperature
2017-07-22,2017-07-22 11:30:00,2017-07-22 14:30:00,02High temperature
2017-07-25,2017-07-25 15:15:00,2017-07-25 15:30:00,02High temperature
2017-07-26,2017-07-26 12:45:00,2017-07-26 18:00:00,02High temperature
2017-07-27,2017-07-27 11:30:00,2017-07-27 15:00:00,02High temperature
2017-07-28,2017-07-28 11:30:00,2017-07-28 22:00:00,02High temperature
2017-07-29,2017-07-29 03:00:00,2017-07-29 20:00:00,02High temperature
2017-07-30,2017-07-30 00:30:00,2017-07-30 23:45:00,02High temperature
2017-07-31,2017-07-31 00:00:00,2017-07-31 17:45:00,02High temperature
2017-08-01,2017-08-01 09:00:00,2017-08-01 18:00:00,02High temperature
2017-08-05,2017-08-05 10:00:00,2017-08-05 16:30:00,02High temperature
2017-08-06,2017-08-06 02:30:00,2017-08-06 17:30:00,02High temperature
2017-08-07,2017-08-07 12:15:00,2017-08-07 18:30:00,02High temperature
2017-08-08,2017-08-08 08:30:00,2017-08-08 21:30:00,02High temperature
2017-08-09,2017-08-09 15:30:00,2017-08-09 17:45:00,02High temperature
2017-08-10,2017-08-10 15:00:00,2017-08-10 18:00:00,02High temperature
2017-08-11,2017-08-11 09:45:00,2017-08-11 14:30:00,02High temperature
2017-08-12,2017-08-12 10:00:00,2017-08-12 16:15:00,02High temperature
2017-08-13,2017-08-13 10:30:00,2017-08-13 20:30:00,02High temperature
2017-08-14,2017-08-14 10:00:00,2017-08-14 19:00:00,02High temperature
2017-08-15,2017-08-15 14:30:00,2017-08-15 16:45:00,02High temperature
2017-08-16,2017-08-16 10:30:00,2017-08-16 10:30:00,02High temperature
2017-08-17,2017-08-17 11:30:00,2017-08-17 16:30:00,02High temperature
2017-08-18,2017-08-18 10:00:00,2017-08-18 18:00:00,02High temperature
2017-08-19,2017-08-19 11:30:00,2017-08-19 19:30:00,02High temperature
2017-08-20,2017-08-20 08:30:00,2017-08-20 22:00:00,02High temperature
2017-08-21,2017-08-21 00:30:00,2017-08-21 23:00:00,02High temperature
2017-08-22,2017-08-22 02:30:00,2017-08-22 16:30:00,02High temperature
2017-08-25,2017-08-25 11:45:00,2017-08-25 12:00:00,02High temperature
2017-08-26,2017-08-26 14:30:00,2017-08-26 15:00:00,02High temperature
2017-08-29,2017-08-29 15:30:00,2017-08-29 15:30:00,02High temperature
