,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-03 01:15:00,6053.73095588029,6053.73095588029,6053.73095588029
2023-01-03 01:30:00,6059.3848698685015,6059.3848698685015,6059.3848698685015
2023-01-03 01:45:00,6049.960763235427,6049.960763235427,6049.960763235427
2023-01-03 02:00:00,6040.536656602356,6040.536656602356,6040.536656602356
2023-01-03 02:15:00,6029.228278634301,6029.228278634301,6029.228278634301
2023-01-03 02:30:00,6016.035079339633,6016.035079339633,6016.035079339633
2023-01-03 02:45:00,6006.611522698192,6006.611522698192,6006.611522698192
2023-01-03 03:00:00,5995.303144730137,5995.303144730137,5995.303144730137
2023-01-03 03:15:00,5982.109945435468,5982.109945435468,5982.109945435468
2023-01-03 03:30:00,5978.340852773873,5978.340852773873,5978.340852773873
2023-01-03 03:45:00,5940.646076216481,5940.646076216481,5940.646076216481
2023-01-03 04:00:00,5893.527743017648,5893.527743017648,5893.527743017648
2023-01-03 04:15:00,5846.409959810449,5846.409959810449,5846.409959810449
2023-01-03 04:30:00,5814.370197224534,5814.370197224534,5814.370197224534
2023-01-03 04:45:00,5789.869169953442,5789.869169953442,5789.869169953442
2023-01-03 05:00:00,5755.944586040913,5755.944586040913,5755.944586040913
2023-01-03 05:15:00,5731.443008778188,5731.443008778188,5731.443008778188
2023-01-03 05:30:00,5712.5958954953085,5712.5958954953085,5712.5958954953085
2023-01-03 05:45:00,5684.324675579357,5684.324675579357,5684.324675579357
2023-01-03 06:00:00,5665.477562296478,5665.477562296478,5665.477562296478
2023-01-03 06:15:00,5646.629899021964,5646.629899021964,5646.629899021964
2023-01-03 06:30:00,5650.399541675193,5650.399541675193,5650.399541675193
2023-01-03 06:45:00,5656.054005655038,5656.054005655038,5656.054005655038
2023-01-03 07:00:00,5652.284363001808,5652.284363001808,5652.284363001808
2023-01-03 07:15:00,5665.477012304844,5665.477012304844,5665.477012304844
2023-01-03 07:30:00,5669.246104966441,5669.246104966441,5669.246104966441
2023-01-03 07:45:00,5684.323575596091,5684.323575596091,5684.323575596091
2023-01-03 08:00:00,5714.479066847026,5714.479066847026,5714.479066847026
2023-01-03 08:15:00,5740.864915444729,5740.864915444729,5740.864915444729
2023-01-03 08:30:00,5740.864915444729,5740.864915444729,5740.864915444729
2023-01-03 08:45:00,5667.360733648193,5667.360733648193,5667.360733648193
